['..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRoute.pyplot', '..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRouteSegmentation.pyplot']
True
theta1: -2.630814, theta2: -2.402371, dir: left, idx: 602
theta1: -2.62105, theta2: -2.400071, dir: left, idx: 603
theta1: -2.602492, theta2: -2.406569, dir: left, idx: 604
theta1: -2.591063, theta2: -2.405943, dir: left, idx: 605
theta1: -2.57146, theta2: -2.413498, dir: left, idx: 606
theta1: -2.55782, theta2: -2.415095, dir: left, idx: 607
theta1: -2.536994, theta2: -2.423886, dir: left, idx: 608
theta1: -2.516182, theta2: -2.432671, dir: left, idx: 609
theta1: -2.495393, theta2: -2.441444, dir: left, idx: 610
theta1: -2.474632, theta2: -2.450197, dir: left, idx: 611
theta1: 0.704859, theta2: 0.635156, dir: right, idx: 614
theta1: 0.736687, theta2: 0.560781, dir: right, idx: 615
theta1: 0.769516, theta2: 0.484906, dir: right, idx: 616
theta1: 0.803075, theta2: 0.407833, dir: right, idx: 617
theta1: 0.815299, theta2: 0.351664, dir: right, idx: 618
theta1: 0.873889, theta2: 0.213904, dir: right, idx: 619
theta1: 0.940729, theta2: 0.061496, dir: right, idx: 620
theta1: 1.011592, theta2: -0.099054, dir: right, idx: 621
theta1: 1.028271, theta2: -0.209456, dir: right, idx: 622
theta1: 1.090669, theta2: -0.369455, dir: right, idx: 623
theta1: 1.149933, theta2: -0.52995, dir: right, idx: 624
theta1: 1.137585, theta2: -0.622122, dir: right, idx: 625
theta1: 1.118413, theta2: -0.710328, dir: right, idx: 626
theta1: 1.153579, theta2: -0.855205, dir: right, idx: 627
theta1: 1.121391, theta2: -0.934461, dir: right, idx: 628
theta1: 1.085773, theta2: -1.011358, dir: right, idx: 629
theta1: 1.031278, theta2: -1.069744, dir: right, idx: 630
theta1: 0.954516, theta2: -1.105514, dir: right, idx: 631
theta1: 0.875407, theta2: -1.137886, dir: right, idx: 632
theta1: 0.730625, theta2: -1.102868, dir: right, idx: 633
theta1: 0.64258, theta2: -1.122268, dir: right, idx: 634
theta1: 0.550588, theta2: -1.134875, dir: right, idx: 635
theta1: 0.390117, theta2: -1.075725, dir: right, idx: 636
theta1: 0.23007, theta2: -1.013375, dir: right, idx: 637
theta1: 0.119796, theta2: -0.996926, dir: right, idx: 638
theta1: -0.04093, theta2: -0.925993, dir: right, idx: 639
theta1: -0.193576, theta2: -0.859021, dir: right, idx: 640
theta1: -0.284025, theta2: -0.835447, dir: right, idx: 641
theta1: -0.380861, theta2: -0.792331, dir: right, idx: 642
theta1: -0.475641, theta2: -0.750413, dir: right, idx: 643
theta1: -0.567784, theta2: -0.710223, dir: right, idx: 644
theta1: -0.656822, theta2: -0.672184, dir: right, idx: 645
theta1: 2.423824, theta2: 2.590034, dir: left, idx: 668
theta1: 2.364718, theta2: 2.720487, dir: left, idx: 669
theta1: 2.299058, theta2: 2.860389, dir: left, idx: 670
theta1: 2.264798, theta2: 2.971747, dir: left, idx: 671
theta1: 2.201524, theta2: 3.114899, dir: left, idx: 672
theta1: 2.13714, theta2: -3.021357, dir: left, idx: 673 wrong
theta1: 2.130207, theta2: -2.929373, dir: left, idx: 674 wrong
theta1: 2.076791, theta2: -2.788601, dir: left, idx: 675 wrong
theta1: 2.026981, theta2: -2.649386, dir: left, idx: 676 wrong
theta1: 2.045796, theta2: -2.57704, dir: left, idx: 677 wrong
theta1: 1.966982, theta2: -2.372962, dir: left, idx: 678 wrong
theta1: 1.956039, theta2: -2.226901, dir: left, idx: 679 wrong
theta1: 1.882694, theta2: -2.004522, dir: left, idx: 680 wrong
theta1: 1.895369, theta2: -1.853902, dir: left, idx: 681 wrong
theta1: 1.875077, theta2: -1.656395, dir: left, idx: 682 wrong
theta1: 1.911165, theta2: -1.502613, dir: left, idx: 683 wrong
theta1: 1.961576, theta2: -1.352841, dir: left, idx: 684 wrong
theta1: 2.03285, theta2: -1.217026, dir: left, idx: 685 wrong
theta1: 2.143451, theta2: -1.117844, dir: left, idx: 686 wrong
theta1: 2.271468, theta2: -1.037939, dir: left, idx: 687 wrong
theta1: 2.413198, theta2: -0.977386, dir: left, idx: 688 wrong
theta1: 2.570604, theta2: -0.940971, dir: left, idx: 689 wrong
theta1: 2.749364, theta2: -0.93805, dir: left, idx: 690 wrong
theta1: 2.973175, theta2: -0.99391, dir: left, idx: 691 wrong
theta1: 3.12216, theta2: -0.989269, dir: left, idx: 692 wrong
theta1: -2.947983, theta2: -1.062839, dir: left, idx: 693 
theta1: -2.806891, theta2: -1.077917, dir: left, idx: 694
theta1: -2.6682, theta2: -1.118531, dir: left, idx: 695
theta1: -2.59021, theta2: -1.104844, dir: left, idx: 696
theta1: -2.450736, theta2: -1.154682, dir: left, idx: 697
theta1: -2.360073, theta2: -1.158028, dir: left, idx: 698
theta1: -2.213807, theta2: -1.219526, dir: left, idx: 699
theta1: -2.070863, theta2: -1.280432, dir: left, idx: 700
theta1: -1.933367, theta2: -1.338754, dir: left, idx: 701
theta1: -1.802959, theta2: -1.392938, dir: left, idx: 702
theta1: -1.67952, theta2: -1.443151, dir: left, idx: 703
theta1: -1.559591, theta2: -1.492862, dir: left, idx: 704
theta1: -1.535092, theta2: -1.502271, dir: left, idx: 705
theta1: -1.533649, theta2: -1.501955, dir: left, idx: 706
theta1: -1.530943, theta2: -1.502902, dir: left, idx: 707
theta1: -1.529254, theta2: -1.502833, dir: left, idx: 708
theta1: -1.526396, theta2: -1.503932, dir: left, idx: 709
theta1: -1.524379, theta2: -1.504191, dir: left, idx: 710
theta1: -1.521341, theta2: -1.50547, dir: left, idx: 711
theta1: -1.518303, theta2: -1.506749, dir: left, idx: 712
theta1: -1.515266, theta2: -1.508028, dir: left, idx: 713
theta1: -1.512228, theta2: -1.509307, dir: left, idx: 714
theta1: 1.632722, theta2: 1.628328, dir: right, idx: 734
