class, amount
5qehh010002, 1
8eeegp060002, 1
a9j9a020001, 1
aaaal010001, 2
aaaal010101, 1
aaaca020101, 1
aaaegc030001, 1
aaaj9030101, 1
aabaae010001, 1
aabaae020001, 1
aaeeq010001, 2
aal9c020001, 1
abjba010101, 2
abjba020101, 1
aehej020101, 1
aeq5010001, 1
ai9a0010001, 2
ajbab020001, 1
ak1kb020001, 1
alcc9020001, 1
alccc010001, 1
alccc020001, 1
alccc030001, 1
an8bk020101, 1
b9l000001, 1
b9l010001, 2
baahc040101, 1
bacl000001, 1
bbb020001, 1
bbb030001, 1
bbgg030002, 1
bbhgc020002, 1
bbnb000002, 1
be9aa010001, 1
be9aa010002, 1
be9lc000001, 1
be9lc010001, 1
beaeee010001, 1
bebe030002, 1
bee030002, 1
beeb040101, 1
beeeae030101, 1
beefg020001, 1
beehg010002, 1
beehg020002, 1
begfq060101, 2
beheg020001, 4
behgq010001, 1
behnb030001, 1
behq000001, 1
behq010002, 1
benee030101, 1
bhccl010001, 1
bhegq020001, 2
bhfcg010001, 1
bhfcg020001, 1
bhfpf010001, 1
bhg9c030000, 4
bhg9c030100, 1
bhgcac030000, 1
bhgcacc030000, 1
bhgcacc030100, 2
bhgcal010002, 1
bhgcal3030000, 2
bja1i010001, 1
bjaba020001, 2
bjb5020101, 1
blcc020001, 2
blccc010001, 1
bn5hp010001, 1
bnbb020002, 1
bnbba010001, 1
bqeee010002, 1
e2eeeg040003, 1
e5aal030002, 1
e5ak1040003, 1
e5baj060003, 1
e5bb040003, 1
e5bb050003, 1
e5bb060003, 1
e5bb070003, 1
e5bb100003, 1
e5bbh080003, 1
e5bee050002, 1
e5beee020002, 1
e5beeg040002, 1
e5beh050002, 1
e5beja060003, 1
e5beq060003, 2
e5bhe040002, 1
e5bhg020002, 1
e5bhg040002, 1
e5bja030002, 1
e5bja040003, 1
e5bke030002, 1
e5bke060002, 1
e5bnb030002, 1
e5bne030003, 1
e5bne040002, 1
e5bne070002, 1
e5e9a050003, 1
e5eaac050003, 1
e5eaae050002, 1
e5eaae060002, 1
e5eaae080003, 2
e5eaak080003, 1
e5eab010002, 1
e5eab050003, 1
e5eab080003, 1
e5eabe030003, 1
e5eabe050003, 1
e5eabe100003, 1
e5eaee020002, 1
e5eaee030002, 1
e5eaee070003, 1
e5eaeee040003, 1
e5eaeeg050002, 1
e5eaj040002, 1
e5eaj1040002, 1
e5eaj1050002, 1
e5eaj1060002, 1
e5eaj9050003, 1
e5eaja030003, 1
e5eaja060002, 1
e5eaja100003, 1
e5eajb030003, 1
e5eajb080003, 1
e5eane020003, 1
e5eb040003, 1
e5eba020002, 1
e5eba030002, 1
e5eba080003, 1
e5ebaa020002, 1
e5ebaa040002, 1
e5ebae090003, 1
e5ebb040003, 1
e5ebb060003, 1
e5ebe020002, 1
e5ebe030002, 1
e5ebe040002, 1
e5ebe050002, 3
e5ebe060003, 1
e5ebe070003, 1
e5ebe080003, 4
e5ebe100003, 1
e5ebea050003, 1
e5ebea060003, 1
e5ebej050003, 1
e5ebej080003, 1
e5ebej090003, 1
e5ebh040003, 1
e5ebi060003, 1
e5ebi090003, 1
e5ebj070003, 1
e5ebj080003, 1
e5ebk060003, 1
e5ebn030002, 1
e5ebn100003, 2
e5eea100003, 1
e5eeb030002, 1
e5eeb100003, 3
e5eebe030002, 1
e5eee020002, 2
e5eee040003, 3
e5eee050003, 2
e5eeee060006, 1
e5eeee080006, 3
e5eeee090006, 4
e5eeee100006, 8
e5eeee110006, 10
e5eeee120006, 10
e5eeee130006, 8
e5eeee140006, 8
e5eeee150006, 10
e5eeee160006, 9
e5eeee170006, 9
e5eeee180006, 9
e5eeee190006, 8
e5eeee200006, 4
e5eeee210006, 4
e5eeee220006, 6
e5eeee230006, 2
e5eeee240006, 2
e5eeeg030002, 1
e5eeen030002, 1
e5eeen060003, 1
e5eeen080003, 1
e5eeen090003, 2
e5eeen120006, 1
e5eeeq050003, 1
e5eege030003, 1
e5eegn060003, 1
e5eeh030003, 1
e5eeh040003, 1
e5eeh060003, 1
e5eeh070003, 1
e5eeh080003, 2
e5eehe070003, 1
e5eehn030003, 1
e5eehn050003, 1
e5eej090003, 1
e5eeja070003, 1
e5eeja080003, 1
e5eejb030002, 1
e5eejb040002, 1
e5eejb050003, 1
e5eejb070003, 1
e5eek060003, 1
e5eek070003, 1
e5eek080003, 1
e5een040003, 1
e5een050003, 1
e5een060003, 1
e5een080003, 1
e5een090003, 1
e5een100003, 1
e5een5050003, 1
e5een5070003, 1
e5eenb030002, 1
e5eene030002, 1
e5eene040003, 2
e5eene050003, 2
e5eene060002, 1
